Fallback for message: qwe, intent: nlu_fallback, confidence: 0.7
Fallback for message: guio, intent: nlu_fallback, confidence: 0.7
Fallback for message: wqwe, intent: nlu_fallback, confidence: 0.7
Fallback for message: quero, intent: nlu_fallback, confidence: 0.7
Fallback for message: ajuda, intent: nlu_fallback, confidence: 0.7
Fallback for message: brasil, intent: nlu_fallback, confidence: 0.7
Fallback for message: feijao, intent: nlu_fallback, confidence: 0.7
Fallback for message: arroz, intent: nlu_fallback, confidence: 0.7
Fallback for message: bom dia, suporte, intent: nlu_fallback, confidence: 0.7
Fallback for message: bom dia, suporte, intent: nlu_fallback, confidence: 0.7
Fallback for message: bom dia, suporte, intent: nlu_fallback, confidence: 0.7
Fallback for message: bom dia, suporte, intent: nlu_fallback, confidence: 0.7
Fallback for message: guilherme, intent: nlu_fallback, confidence: 0.7
Fallback for message: oi, intent: nlu_fallback, confidence: 0.7
Fallback for message: EXTERNAL: EXTERNAL_name_reminder, intent: EXTERNAL_name_reminder, confidence: None
Fallback for message: oi, intent: saudacao, confidence: 1.0
Fallback for message: oi, intent: saudacao, confidence: 1.0
Fallback for message: EXTERNAL: EXTERNAL_check_for_name, intent: EXTERNAL_check_for_name, confidence: None
Fallback for message: EXTERNAL: EXTERNAL_check_for_name, intent: EXTERNAL_check_for_name, confidence: None
Fallback for message: EXTERNAL: EXTERNAL_check_for_name, intent: EXTERNAL_check_for_name, confidence: None
Fallback for message: oi, intent: saudacao, confidence: 1.0
Fallback for message: EXTERNAL: EXTERNAL_check_for_name, intent: EXTERNAL_check_for_name, confidence: None
Fallback for message: oi, intent: saudacao, confidence: 1.0
Fallback for message: oi, intent: saudacao, confidence: 1.0
Fallback for message: EXTERNAL: EXTERNAL_check_for_name, intent: EXTERNAL_check_for_name, confidence: None
Fallback for message: oi, intent: saudacao, confidence: 1.0
Fallback for message: Oi, intent: saudacao, confidence: 1.0
Fallback for message: Oi, intent: saudacao, confidence: 1.0
Fallback for message: oi, intent: saudacao, confidence: 1.0
Fallback for message: Oi, intent: saudacao, confidence: 1.0
Fallback for message: oi, intent: saudacao, confidence: 1.0
Fallback for message: oi, intent: saudacao, confidence: 1.0
Fallback for message: OI, intent: saudacao, confidence: 1.0
Fallback for message: Bom dia, intent: saudacao, confidence: 1.0
Fallback for message: EXTERNAL: EXTERNAL_check_for_name, intent: EXTERNAL_check_for_name, confidence: None
Fallback for message: bom dia, intent: saudacao, confidence: 1.0
